"FlowName","Enabled","DisplayName","UserType","CreatedTime","CreatedBy","LastModifiedTime","EnvironmentName","Internal"
"e3f7735b-5aa1-4253-abe3-c4ff61e586e7","False","Skapa todo från flaggat email","Owner","20.03.2018 09:06:21","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=eddb2e5d-3967-497f-ba47-ab350dc3fdc2; userId=eddb2e5d-3967-497f-ba47-ab350dc3fdc2; userType=ActiveDirectory}","02.05.2018 07:23:25","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=e3f7735b-5aa1-4253-abe3-c4ff61e586e7; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/e3f7735b-5aa1-4253-abe3-c4ff61e586e7; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"047ac937-cda4-4ffa-bf04-3bec6aa07d71","True","Send to sharepoint","Owner","01.06.2022 09:25:59","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=f4b7235b-8392-408d-abdc-0724e56a9ecd; userId=f4b7235b-8392-408d-abdc-0724e56a9ecd; userType=ActiveDirectory}","19.01.2023 18:33:18","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=047ac937-cda4-4ffa-bf04-3bec6aa07d71; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/047ac937-cda4-4ffa-bf04-3bec6aa07d71; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"22b19f60-ce7f-4b45-938a-bea34ce0a00c","True","Delete file in sharepoint","Owner","01.06.2022 09:50:50","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=f4b7235b-8392-408d-abdc-0724e56a9ecd; userId=f4b7235b-8392-408d-abdc-0724e56a9ecd; userType=ActiveDirectory}","19.01.2023 18:35:27","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=22b19f60-ce7f-4b45-938a-bea34ce0a00c; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/22b19f60-ce7f-4b45-938a-bea34ce0a00c; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"248c4371-4510-4132-974c-28476748de23","True","Delete folder in sharepoint","Owner","22.09.2022 09:34:26","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=f4b7235b-8392-408d-abdc-0724e56a9ecd; userId=f4b7235b-8392-408d-abdc-0724e56a9ecd; userType=ActiveDirectory}","19.01.2023 19:15:32","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=248c4371-4510-4132-974c-28476748de23; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/248c4371-4510-4132-974c-28476748de23; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"682fd203-2ef0-4bba-8ca8-ef10740878f6","True","Send revision reminder email for folder","Owner","13.01.2023 08:27:29","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=f4b7235b-8392-408d-abdc-0724e56a9ecd; userId=f4b7235b-8392-408d-abdc-0724e56a9ecd; userType=ActiveDirectory}","13.01.2023 09:02:55","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=682fd203-2ef0-4bba-8ca8-ef10740878f6; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/682fd203-2ef0-4bba-8ca8-ef10740878f6; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"6ac3013f-960b-4c0e-a649-ff778809073f","True","Set content approval status on file","Owner","01.06.2022 09:33:18","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=f4b7235b-8392-408d-abdc-0724e56a9ecd; userId=f4b7235b-8392-408d-abdc-0724e56a9ecd; userType=ActiveDirectory}","01.06.2022 09:33:18","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=6ac3013f-960b-4c0e-a649-ff778809073f; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/6ac3013f-960b-4c0e-a649-ff778809073f; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"a51098b0-08c2-4164-afe4-7ceef40552ff","True","Send email","Owner","01.06.2022 09:35:50","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=f4b7235b-8392-408d-abdc-0724e56a9ecd; userId=f4b7235b-8392-408d-abdc-0724e56a9ecd; userType=ActiveDirectory}","01.06.2022 09:35:51","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=a51098b0-08c2-4164-afe4-7ceef40552ff; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/a51098b0-08c2-4164-afe4-7ceef40552ff; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"a63aea38-a54c-41d2-8237-d0a2a0f926b5","True","Move file in sharepoint","Owner","01.06.2022 09:47:58","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=f4b7235b-8392-408d-abdc-0724e56a9ecd; userId=f4b7235b-8392-408d-abdc-0724e56a9ecd; userType=ActiveDirectory}","19.01.2023 19:16:02","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=a63aea38-a54c-41d2-8237-d0a2a0f926b5; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/a63aea38-a54c-41d2-8237-d0a2a0f926b5; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"cc5c63c1-6976-4c37-8e9b-48ff869b318b","True","Move file in teams","Owner","05.07.2022 07:48:17","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=f4b7235b-8392-408d-abdc-0724e56a9ecd; userId=f4b7235b-8392-408d-abdc-0724e56a9ecd; userType=ActiveDirectory}","05.07.2022 07:48:17","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=cc5c63c1-6976-4c37-8e9b-48ff869b318b; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/cc5c63c1-6976-4c37-8e9b-48ff869b318b; type=Microsoft.ProcessSimple/environments/flows; properties=}"
"8bb0733a-3be4-4432-9001-5aec3346aefd","False","Skapa en Planner-uppgift","Owner","17.01.2023 07:13:04","@{tenantId=7b249638-09df-45a2-b72f-392ddea03793; objectId=6733f469-4183-4cc6-be6b-17f95b1d0327; userId=6733f469-4183-4cc6-be6b-17f95b1d0327; userType=ActiveDirectory}","17.01.2023 07:13:04","Default-7b249638-09df-45a2-b72f-392ddea03793","@{name=8bb0733a-3be4-4432-9001-5aec3346aefd; id=/providers/Microsoft.ProcessSimple/environments/Default-7b249638-09df-45a2-b72f-392ddea03793/flows/8bb0733a-3be4-4432-9001-5aec3346aefd; type=Microsoft.ProcessSimple/environments/flows; properties=}"
